Point ID,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Cluster
13612,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
3354,129409,1348.89,484.364,341.173,1.4197,0.709831,130688,405.917,0.799334,0.990213,0.893763,0.838041,0.0037429,0.0011388,0.702312,0.997076,2
3355,129807,1356.31,493.242,336.465,1.46595,0.731212,131148,406.541,0.806315,0.989775,0.886722,0.824222,0.00379981,0.00108173,0.679342,0.995884,2
3356,130070,1362.23,486.706,343.115,1.41849,0.709234,131860,406.952,0.751537,0.986425,0.88082,0.836136,0.00374188,0.00112817,0.699123,0.991701,2
3357,131249,1374.9,521.149,323.79,1.60953,0.783572,132831,408.793,0.814988,0.98809,0.872499,0.784406,0.00397069,0.000927277,0.615293,0.990331,2
3358,131488,1368.23,485.893,345.621,1.40585,0.702876,132905,409.165,0.793368,0.989338,0.882624,0.842089,0.00369534,0.00114621,0.709114,0.996909,2
3359,132254,1358.19,497.768,339.636,1.46559,0.731055,133553,410.355,0.727118,0.990274,0.900945,0.82439,0.00376372,0.00107233,0.679619,0.996043,2
3360,132399,1335.88,486.86,346.581,1.40475,0.702311,133434,410.58,0.789965,0.992243,0.932303,0.843323,0.00367722,0.00114729,0.711193,0.999049,2
3361,132851,1369.46,511.976,333.405,1.5356,0.758895,134466,411.28,0.686341,0.98799,0.890176,0.803319,0.00385376,0.000989958,0.645322,0.990954,2
3362,132889,1373.51,499.646,339.907,1.46995,0.732939,134325,411.339,0.789361,0.98931,0.885187,0.823259,0.00375988,0.00106537,0.677756,0.996269,2
3363,133760,1369.74,481.261,354.626,1.3571,0.676037,135151,412.685,0.744567,0.989708,0.895903,0.857507,0.00359794,0.00120001,0.735318,0.997897,2
3364,134012,1385.81,517.765,331.916,1.55993,0.767495,135500,413.073,0.760706,0.989018,0.876896,0.7978,0.00386357,0.000965486,0.636486,0.992871,2
