Point ID,Feature 1,Feature 2,Feature 3,Feature 4,Cluster
51,7,3.2,4.7,1.4,1
52,6.4,3.2,4.5,1.5,1
54,5.5,2.3,4,1.3,1
55,6.5,2.8,4.6,1.5,1
56,5.7,2.8,4.5,1.3,1
57,6.3,3.3,4.7,1.6,1
58,4.9,2.4,3.3,1,1
59,6.6,2.9,4.6,1.3,1
60,5.2,2.7,3.9,1.4,1
61,5,2,3.5,1,1
62,5.9,3,4.2,1.5,1
63,6,2.2,4,1,1
64,6.1,2.9,4.7,1.4,1
65,5.6,2.9,3.6,1.3,1
66,6.7,3.1,4.4,1.4,1
67,5.6,3,4.5,1.5,1
68,5.8,2.7,4.1,1,1
69,6.2,2.2,4.5,1.5,1
70,5.6,2.5,3.9,1.1,1
71,5.9,3.2,4.8,1.8,1
72,6.1,2.8,4,1.3,1
73,6.3,2.5,4.9,1.5,1
74,6.1,2.8,4.7,1.2,1
75,6.4,2.9,4.3,1.3,1
76,6.6,3,4.4,1.4,1
77,6.8,2.8,4.8,1.4,1
79,6,2.9,4.5,1.5,1
80,5.7,2.6,3.5,1,1
81,5.5,2.4,3.8,1.1,1
82,5.5,2.4,3.7,1,1
83,5.8,2.7,3.9,1.2,1
84,6,2.7,5.1,1.6,1
85,5.4,3,4.5,1.5,1
86,6,3.4,4.5,1.6,1
87,6.7,3.1,4.7,1.5,1
88,6.3,2.3,4.4,1.3,1
89,5.6,3,4.1,1.3,1
90,5.5,2.5,4,1.3,1
91,5.5,2.6,4.4,1.2,1
92,6.1,3,4.6,1.4,1
93,5.8,2.6,4,1.2,1
94,5,2.3,3.3,1,1
95,5.6,2.7,4.2,1.3,1
96,5.7,3,4.2,1.2,1
97,5.7,2.9,4.2,1.3,1
98,6.2,2.9,4.3,1.3,1
99,5.1,2.5,3,1.1,1
100,5.7,2.8,4.1,1.3,1
102,5.8,2.7,5.1,1.9,1
107,4.9,2.5,4.5,1.7,1
114,5.7,2.5,5,2,1
115,5.8,2.8,5.1,2.4,1
120,6,2.2,5,1.5,1
122,5.6,2.8,4.9,2,1
124,6.3,2.7,4.9,1.8,1
127,6.2,2.8,4.8,1.8,1
128,6.1,3,4.9,1.8,1
134,6.3,2.8,5.1,1.5,1
139,6,3,4.8,1.8,1
143,5.8,2.7,5.1,1.9,1
147,6.3,2.5,5,1.9,1
150,5.9,3,5.1,1.8,1
1,5.1,3.5,1.4,0.2,2
2,4.9,3,1.4,0.2,2
3,4.7,3.2,1.3,0.2,2
4,4.6,3.1,1.5,0.2,2
5,5,3.6,1.4,0.2,2
6,5.4,3.9,1.7,0.4,2
7,4.6,3.4,1.4,0.3,2
8,5,3.4,1.5,0.2,2
9,4.4,2.9,1.4,0.2,2
10,4.9,3.1,1.5,0.1,2
11,5.4,3.7,1.5,0.2,2
12,4.8,3.4,1.6,0.2,2
13,4.8,3,1.4,0.1,2
14,4.3,3,1.1,0.1,2
15,5.8,4,1.2,0.2,2
16,5.7,4.4,1.5,0.4,2
17,5.4,3.9,1.3,0.4,2
18,5.1,3.5,1.4,0.3,2
19,5.7,3.8,1.7,0.3,2
20,5.1,3.8,1.5,0.3,2
21,5.4,3.4,1.7,0.2,2
22,5.1,3.7,1.5,0.4,2
23,4.6,3.6,1,0.2,2
24,5.1,3.3,1.7,0.5,2
25,4.8,3.4,1.9,0.2,2
26,5,3,1.6,0.2,2
27,5,3.4,1.6,0.4,2
28,5.2,3.5,1.5,0.2,2
29,5.2,3.4,1.4,0.2,2
30,4.7,3.2,1.6,0.2,2
31,4.8,3.1,1.6,0.2,2
32,5.4,3.4,1.5,0.4,2
33,5.2,4.1,1.5,0.1,2
34,5.5,4.2,1.4,0.2,2
35,4.9,3.1,1.5,0.1,2
36,5,3.2,1.2,0.2,2
37,5.5,3.5,1.3,0.2,2
38,4.9,3.1,1.5,0.1,2
39,4.4,3,1.3,0.2,2
40,5.1,3.4,1.5,0.2,2
41,5,3.5,1.3,0.3,2
42,4.5,2.3,1.3,0.3,2
43,4.4,3.2,1.3,0.2,2
44,5,3.5,1.6,0.6,2
45,5.1,3.8,1.9,0.4,2
46,4.8,3,1.4,0.3,2
47,5.1,3.8,1.6,0.2,2
48,4.6,3.2,1.4,0.2,2
49,5.3,3.7,1.5,0.2,2
50,5,3.3,1.4,0.2,2
53,6.9,3.1,4.9,1.5,3
78,6.7,3,5,1.7,3
101,6.3,3.3,6,2.5,3
103,7.1,3,5.9,2.1,3
104,6.3,2.9,5.6,1.8,3
105,6.5,3,5.8,2.2,3
106,7.6,3,6.6,2.1,3
108,7.3,2.9,6.3,1.8,3
109,6.7,2.5,5.8,1.8,3
110,7.2,3.6,6.1,2.5,3
111,6.5,3.2,5.1,2,3
112,6.4,2.7,5.3,1.9,3
113,6.8,3,5.5,2.1,3
116,6.4,3.2,5.3,2.3,3
117,6.5,3,5.5,1.8,3
118,7.7,3.8,6.7,2.2,3
119,7.7,2.6,6.9,2.3,3
121,6.9,3.2,5.7,2.3,3
123,7.7,2.8,6.7,2,3
125,6.7,3.3,5.7,2.1,3
126,7.2,3.2,6,1.8,3
129,6.4,2.8,5.6,2.1,3
130,7.2,3,5.8,1.6,3
131,7.4,2.8,6.1,1.9,3
132,7.9,3.8,6.4,2,3
133,6.4,2.8,5.6,2.2,3
135,6.1,2.6,5.6,1.4,3
136,7.7,3,6.1,2.3,3
137,6.3,3.4,5.6,2.4,3
138,6.4,3.1,5.5,1.8,3
140,6.9,3.1,5.4,2.1,3
141,6.7,3.1,5.6,2.4,3
142,6.9,3.1,5.1,2.3,3
144,6.8,3.2,5.9,2.3,3
145,6.7,3.3,5.7,2.5,3
146,6.7,3,5.2,2.3,3
148,6.5,3,5.2,2,3
149,6.2,3.4,5.4,2.3,3
